tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
60783,CİHAT YÜCEL,1987,POR-8\'in (Ornithine-8-vazopressin) lokal vazokonstriktör olarak halothen anestezisinde değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('NdgrAx5MbeFgRjoN98gQvA','NdgrAx5MbeFgRjoN98gQvA')"
60805,A. ERHAN ÖZEV,1987,Duodenum ülserinin cerrahi tedavisinde selesktif proksimal vagotominin etkileri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('1tO_bg2_3ykNzOuchSBM7A','1tO_bg2_3ykNzOuchSBM7A')"
60806,HALİL ONARAN,1987,Akut pankreatit tanı ve tedavisinde erken dönemde cerrahi girişimin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('yQPFFwzDt5BaCBNrdA8j_g','yQPFFwzDt5BaCBNrdA8j_g')"
60807,GÜLGÜN GİRİTLİ,1987,Bilateral simultane meme karsinomu insidensini belirlemede kontrateral körleme biopsisinin değeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('hoSxYMsmrmx_3rrhUYKwiw','hoSxYMsmrmx_3rrhUYKwiw')"
60808,İHSAN DİLER ÖZAÇMAK,1987,Deneysel ekstrahepatik kolestazda oluşan akut böbrek yetersizliği etyopatogenezi üzerine bağırsak sterilizasyonunun tkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('DTGMZEzmaQmCZW15bjy4PQ','DTGMZEzmaQmCZW15bjy4PQ')"
60873,CİHANGİR ORHON,1987,Kliniğimizde 1975-1985 yılları arasında görülen gebelik ve hipertansiyon olgularının değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('DvKpFbAtMrDC--DiGaTbBA','DvKpFbAtMrDC--DiGaTbBA')"
60874,ENVER METE ÜNAL,1987,Kollum kanserinde herpes genitalisin rolü<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('N8gQf4Vdf9LowOI55hR9Jw','N8gQf4Vdf9LowOI55hR9Jw')"
60809,MUSTAFA KARSLI,1987,Karaciğer hidatik kistinin cerrahi tedavisinde İntrofleksiyon\'un yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('JCsJLn_jiISVCzvfsCYTMw','JCsJLn_jiISVCzvfsCYTMw')"
60810,AKİF FEYİZOĞLU,1987,Üst gastrointestinal sistem anastomozlarında EEA staplerin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('7UzCPwqQP14pH9jpGaqQeA','7UzCPwqQP14pH9jpGaqQeA')"
10451,GARBİS YAKUPYAN,1990,İstikrarlı angina pektoriste bir kalsiyum kanal blokeri olan diltiazemin egzersiz performansına olan etkisinin araştırılması. Egzersiz testi ve \'M-mode\' ekokardiografi ile yapılan bir çalışma<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('WtO2g39EY0wxgRjYhkEwqw','WtO2g39EY0wxgRjYhkEwqw')"
9023,KEMAL DİKİCİ,1990,Sarkoidozlu hastalarda teşhis ve takip yöntemi olarak jundus fluoressein anjiografisi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('aojH4XmmnpPhbIauahXEqA','aojH4XmmnpPhbIauahXEqA')"
9024,İZZET ROZANES,1990,Aort disseksionlarında dinamik bilgisayarlı tomografi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('AWVNQ650zsk-2YGubNRHwQ','AWVNQ650zsk-2YGubNRHwQ')"
9025,HAYDAR CEYLAN,1989,"Tükrük bezleri hastalıklarında siyalografik, ultrasonografik ve bilgisayarlı tomografik tetkik yöntemlerinin karşılaştırmalı değerlendirilmesi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('8jZATj4NKKUQO3mXWO6nAQ','8jZATj4NKKUQO3mXWO6nAQ')"
9026,MAKTAV DİNÇER,1989,Serviks uteri adenokarsinomu (klinik özellikleri ve tedavisi)<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('6pMSzy5Ko-8kp0arN21Qzg','6pMSzy5Ko-8kp0arN21Qzg')"
9399,MUKADDER ALBAYRAK,1990,Türkiye\'de adli amaçlarla cannabis sativa ve cannabinoid türevlerinin analizi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('zryyOq5WUCfhdzDaR_I8DA','zryyOq5WUCfhdzDaR_I8DA')"
9400,ÜMİT NACİ GÜNDOĞMUŞ,1990,"Adli amaçlarla eroin, morfin, kodein analizi ve bu maddelere bağlı ölümlerde otopsi bulguları<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Adli Tıp = Forensic Medicine," onclick=tezDetay('HqtUvzIbE69T3ldUJPN07g','HqtUvzIbE69T3ldUJPN07g')"
9401,MUHARREM EROL,1990,Kan transfüzyonu uygulamasının serum iyonize kalsiyum düzeyine etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('g32QWH5vm1tyTffN9H2OGQ','g32QWH5vm1tyTffN9H2OGQ')"
9402,ARZU SEVEN,1990,Diabetli ve diabetli olmayan olgularda glikozillenmiş hemoglobin ve glikozillenmiş tırnak proteinlerinin analizi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('6ztJ67DSybsOtx58KjtXhQ','6ztJ67DSybsOtx58KjtXhQ')"
9403,BÜLENT ALICI,1990,Mesane tümörlü hastalarda kan ve idrar B-HCG düzeyi tayini<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('Mg0Cv4-EG2hfBZhsEoOd0Q','Mg0Cv4-EG2hfBZhsEoOd0Q')"
9404,RESİME ŞENGÜL(GELİŞGEN),1990,Kanserli olgularda glikozillenmiş hemoglobin ve serum çinko değerleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('QjuRxItN8nF3gks7ItePLw','QjuRxItN8nF3gks7ItePLw')"
10452,MOHAMMAD GHAMARİ,1990,Gram negatif çomaklar için ofloksasin ile bazı beta-laktam ve aminoglikozid antibiyotikler arasında sinerjizm ve antagonizmin araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('l0WNEmCXl9hraf-m2batmg','l0WNEmCXl9hraf-m2batmg')"
10453,GÜLNUR ÇOM,1990,Çocukluk çağı akut lösemilerinin tanısında sitoşiminin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('W4U6BxjnXEqhZj6atVJblA','W4U6BxjnXEqhZj6atVJblA')"
10454,MURAT DAL,1990,Allerjik astım bronşiyaleli hastalarda immunoterapi ile alınan sonuçlar (35088 Vaka)<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology," onclick=tezDetay('g0ZVCsz904hCbXcUcYbvBA','g0ZVCsz904hCbXcUcYbvBA')"
8969,MEHMET YAVUZ SELHANOĞLU,1989,Cinsel disfonksiyonlu erkek hastalarda tanı yöntemleri ve tedavi prensipleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('DUN0mdtqGuDG93j6Nj-EUQ','DUN0mdtqGuDG93j6Nj-EUQ')"
15585,ARZU AYŞE ÇUBUKÇU,1990,Ventriküler erken vuruların tedavisinde propafenone ve disopiyramidein etkinliklerinin karşılaştırılması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('cA0j7o5osyWFgwT5B7PQJQ','cA0j7o5osyWFgwT5B7PQJQ')"
8970,KAYIHAN ŞAHİNOĞLU,1989,Arteria meningea medianın meningeal davranış varyasyonları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Morfoloji = Morphology," onclick=tezDetay('zPZAyXE3IQhT-zJ6bOP1kQ','zPZAyXE3IQhT-zJ6bOP1kQ')"
9027,H.FARUK BUYRU,1990,Su kesesi erken açılan gebelerde biofizik profil ile infeksiyon gelişmesi arasındaki ilişkinin araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('73zhQgNLlzwm74GElCWDBQ','73zhQgNLlzwm74GElCWDBQ')"
9028,YUSUF ORHAN,1989,Farklılaşmış tiroid karsinomlarında prognozu etkileyen faktörler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('g2XrXxurGlKMWrYD_xO82g','g2XrXxurGlKMWrYD_xO82g')"
174731,YÜKSEL TURGAL,1984,Nöroleptanaljezi + etomidate ile klasik nöroleptanaljezinin indüksiyonu fazında karşılaştırılması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ZIZzHwUEaKII7Mmm7GSs8A','nHwVO7ej2cjHEQpnlhIM8Q')"
174735,BİNGÜR SÖNMEZ,1984,Kardioplejik solüsyonlarda bulunan partiküllere bağlı geçici koroner vazokonstrüksiyonun mekanizması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('15X8b7TgwsBIho5lIGbt8Q','y3QvcSAF6qCemWiEFzq28Q')"
10455,CİHANGİR GÖRGÜLÜ,1990,Kadavradan böbrek transplantasyonunda karşılaşılan cerrahi ve ürolojik komplikasyonların tanısında ve takibinde ultrasonografinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('T0SjHvJTEjaI3bhmXOlCaw','T0SjHvJTEjaI3bhmXOlCaw')"
10456,SERAP YÜCEL ÇAĞ,1990,Esansiyel hipertansiyonlu hastalarda hiperinsülinizm ve insülin direncinin araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('W1I2B4KFJqPIa5mV54x2ww','W1I2B4KFJqPIa5mV54x2ww')"
10457,YONCA AYDIN AKOVA,1990,Uzun süreli kontakt lens kullanımında kornea endotel değişimleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('VXZvu9OJ1tSx5caXdKImaw','VXZvu9OJ1tSx5caXdKImaw')"
10458,ESMA SÜRMEN,1990,Hepatik hem sentezinde ilaç uygulaması sonucunda görülen değişiklikler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('Mxd3eLfSjnAsD7Gn8i9cRQ','Mxd3eLfSjnAsD7Gn8i9cRQ')"
9405,ŞAFAK SERTEL,1990,Kronik atriyum fibrilasyonlu hastalarda egzersize yanıt olan ventrikül hızı artışı üzerine digoksin ve verapamil etkisinin araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('o3kDweYprB1boP0x6c77dQ','o3kDweYprB1boP0x6c77dQ')"
9406,MUSTAFA AK,1990,Brusellozluların rivanol ve 2-mercaptoethanol deneyleri yapılan serumlarında ELISA (Enzyme-Linked immunosorbent Assay) ile IgM aranması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('ZgFi3qLtWmntkvKfDBXatA','ZgFi3qLtWmntkvKfDBXatA')"
9407,BİROL TUNALI,1990,Geç arteryel embolilerde sinir lezyonu oluşumunun ekstremitenin prognozuna etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('mJaDiKFULSD5GaZFRSagvA','mJaDiKFULSD5GaZFRSagvA')"
3878,FADIL AYAN,1988,Gastro intestinal sistemde triko ve fitobezoarlar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('NTfnZb_fYaXnNXUmIwVnSA','NTfnZb_fYaXnNXUmIwVnSA')"
141194,MEHDİ MAHMUDİAN,1984,Koledokoduodenostomi\'lerden sonra kolanjit sorunu<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('mFeJ060GlsSmXALitwTDbA','54IHbG8oKZ4e8mBXvsDejw')"
10459,ZEYNEP VARDAR(OĞAN),1990,Uzun süre sert (PMMA) kontakt lens kullananlarda kornea kurvatür değişimleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('m_pTpuDH0QqC_YEm5SGDXQ','m_pTpuDH0QqC_YEm5SGDXQ')"
8971,KARİMOLLAH GERMİ GHASEMİ,1990,Mikobakterilerin tür tanısı ve mikrodilüsyon (MIC) yöntemi ile duyarlılık deneyi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('1P-3_zK75gqLxZ0W7b1H1A','1P-3_zK75gqLxZ0W7b1H1A')"
8972,DİLEK GÖRGEÇ,1990,Mikobakterilerde virulans tayini için yapılan çalışmalar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('kDXFPFbewcYRFqeW2Fl-0Q','kDXFPFbewcYRFqeW2Fl-0Q')"
10460,ELVAN ÇEPEL,1990,Ösofagus malign tümörlerinin bilgisayarlı tomografi ile preoperatif olarak değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('1uzbhu9d_ZwaqiGYRn7fdQ','1uzbhu9d_ZwaqiGYRn7fdQ')"
10461,TÜRKER BULUT,1989,Temiz ve kirli karında deneysel olarak meydana getirilen duodenal defektlerin jejunal serozal \'patch\' ile onarımının karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('R8ZZo6Pr2UrCPM3US0JVkg','R8ZZo6Pr2UrCPM3US0JVkg')"
10462,MÜSLÜM KARAGÜLLE,1990,Çocukluk çağı portal hipertansiyonları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('N1W5xqMbLMzS-Yr_jyJKCA','N1W5xqMbLMzS-Yr_jyJKCA')"
3879,KAMBİZ PANAHİ SHARİEF,1988,Rektum yaralanmaları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('tc-jOlpJld9TH_E22mc-Bw','tc-jOlpJld9TH_E22mc-Bw')"
3880,FİKRET SAMİ VURAL,1988,Romatizmal kalb hastalıklarında mitral kapak tamiri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('X58OHLOwMwcadG-aWuspmQ','X58OHLOwMwcadG-aWuspmQ')"
3881,ZİYA GÜLBARAN,1988,Astımlı hastalarda klinik ve laboratuvar özellikler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('w02u9MJwCO-jDQ_pNHcffA','w02u9MJwCO-jDQ_pNHcffA')"
8973,BETİGÜL SARIASLAN ÖNGEN,1989,0-15 yaş grubundaki çocukların serumlarında indirekt fluoresan antikor tekniği ile giardia intestinalise karşı antikorların aranması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('0Ore47kyPdyoozuin5UX0Q','0Ore47kyPdyoozuin5UX0Q')"
8974,MEHMET AKİF KAYGUSUZ,1990,Vertebra tüberkülozunun tedavisinde anterior radikal cerrahi girişimin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('cionXmF_ialxBDnxQFePww','cionXmF_ialxBDnxQFePww')"
8975,İRFAN ESENKAYA,1989,Torakolomber omurga kırıklarının cerrahi tedavisinde rod-sleeve yöntemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('WCg9nEarRkQrkATwaHgR5g','WCg9nEarRkQrkATwaHgR5g')"
15594,ARİF DÖNMEZ,1990,Romatoid artritli hastalarda lokal soğuk uyarana termoregülatuar yanıtın değerlendirilmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Romatoloji = Rheumatology," onclick=tezDetay('2UxQafGE3kj-8NWVa4-5KA','2UxQafGE3kj-8NWVa4-5KA')"
8976,FATİH ATA GENÇ,1989,Batın duvarı defekt tamirlerinin primer ve sentetik greftlerle onarımında iyileşmenin incelenmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('l-q9gjM6TBvxbcu2Dkb8ow','l-q9gjM6TBvxbcu2Dkb8ow')"
8977,OLCAY ÇUBUKCU,1990,Yeni görüşler ışığında çeşitli yönleriyle karsinomlarının patolojik anatomik açıdan değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('qmlJdj8llK80Ed5Osm0b9w','qmlJdj8llK80Ed5Osm0b9w')"
10463,AHMET KİREMİTÇİGİL,1990,Halk sağlığı alanında kullanılan pestisidler ve ülkemizdeki hatalı uygulamalar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('VNq2jvUkGsdGBKcCOoCZUQ','VNq2jvUkGsdGBKcCOoCZUQ')"
10464,A. MURAT YAYLA,1990,Leiomyom ve endometrium kanserinde myom ve myometriumun steroid reseptörleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('M0LNDIgwF9YDMGLS8Y5DgA','M0LNDIgwF9YDMGLS8Y5DgA')"
3882,ESİN TUNCAY,1988,Nifedipin\'in nonspesifik bronş hiperreaktivitesine etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('tVvEJpy706McYtIglgzVOQ','tVvEJpy706McYtIglgzVOQ')"
3883,HATİCE TÜRKER,1988,Tüberküloz plörezide immünolojik özellikler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('g0SPKNVySBXgo9PwxYDedQ','g0SPKNVySBXgo9PwxYDedQ')"
3884,AYHAN ILICALI,1988,Puerperal mastitlerde patojen ajanın süt kültürüyle tesbiti<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('XuByZwJ3LizbZG7XNt_-6A','XuByZwJ3LizbZG7XNt_-6A')"
5949,CENGİZ YALÇINKAYA,1989,Akut infantil hemiplejilerde klinik ve laboratuvar yaklaşım<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('0DBxO5Qo1hK4of1c_V41Lg','0DBxO5Qo1hK4of1c_V41Lg')"
5950,CANDAN ERİŞ,1989,Mastektomi sonrası ruhsal durum<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('j1UmOWDdN2IwBKNLPz29dQ','j1UmOWDdN2IwBKNLPz29dQ')"
5951,MUSTAFA NAL,1989,Juvenil diabetiklerde papilla değişiklikleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('4EcYAUnPWjF6SUjR-e_lZg','4EcYAUnPWjF6SUjR-e_lZg')"
15345,MİNE HANOĞLU (SAVAŞ),1990,Deri direnci ölçümleriyle spinal anesteziden sonra sempatik blokajın değerlendirilmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('d8XqnXiFnLQ5XjkkWTUiVg','d8XqnXiFnLQ5XjkkWTUiVg')"
8978,HALUK B. SAYMAN,1990,Alt ekstremite periferik arter hastalıklarında Tc-99m-MIBI ile adale perfüzyonu<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('n2nYwfj65Nv0Kz5g-2nu7A','n2nYwfj65Nv0Kz5g-2nu7A')"
