tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
698753,EMRULLAH AKYÜZ,2021,Sıçanlarda favipiravir ve deksametazonun tek başına ve kombine halde over dokusu ve üreme fonksiyonuna etkisi. Biyokimyasal ve histopatolojik değerlendirme<br><span style='font-style: italic';>The effect of favipiravir and dexamethasone alone and combined on ovary tissue and reproductive function in rats. Biochemical and histopatological evaluation,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('qhilvfOzO_VCrUFZZopIkA','_Pm3_FKpOASwEyqUICTRGQ')"
662230,ÖMER ÖZER,2021,Erzincan Binali Yıldırım Üniversitesi öğrencilerinde sağlık okuryazarlığı düzeyi ve ilişkili faktörler<br><span style='font-style: italic';>Health literacy level and its associated factors among Erzincan Binali Yildirim University students,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('XpozwXwyOYGhdF1Ob8dfig','rWPqGDQce89-pa_2N5VFNg')"
536770,HAMZA ARI,2019,Artroskopik rotator manşet tamiri ameliyatında saptanan ek omuz patolojilerinin klinik sonuca etkisinin değerlendirilmesi<br><span style='font-style: italic';>Assessment of effect of additional shoulder pathologies identified during arthroscopic rotator cuff repair surgery on clinical outcomes,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('LxqxTbmP0P_EceL25QJpAA','TJ0ffB7GsRoNaFH4a-7ePw')"
662770,İSMAİL SALCAN,2017,Alerjik rinitli hastalarda serotonintransporter gen polymorfizmininvarlığının araştırılması<br><span style='font-style: italic';>Allergic rinitated patients aaserotoninetransporter gen polymorphismincreasing the existence,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Allerji ve İmmünoloji = Allergy and Immunology," onclick=tezDetay('BxKPqTfA1cNsB3LyXFgUIQ','jz_Yqtp0pcOOy283RrZFLQ')"
827093,NESRİN YILMAZ,2020,"Kliniğimizde servikal kanser tarama programında hpv sıklığı, tipleri, kolposkopi ve biyopsi sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of hpv frequency, types, colposcopy and biopsy results in cervical cancer screening program in our clinic",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('HdgLBe0AXQTm9rLOfisuUg','JojQ5dSLc5DOOapAi7_N5Q')"
706387,MİRAY AYDOĞAN,2022,Nonalkolik yağlı karaciğer hastalığı ile aterojenik parametreler arasındaki ilişki<br><span style='font-style: italic';>The relationship between nonalcoholic fatty liver disease and atherogenic parameters,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('uDrp0012h5ZXki6k2planQ','nnN5RFCw-0JF9Tw0ExmGug')"
710324,VOLKAN KILINÇ,2022,D vitamini eksikliği ve hiperparatiroidinin inflamasyon belirteçleri ile ilişkisi<br><span style='font-style: italic';>The relationship of vitamin D deficiency and hypeparathyroidism with markers of inflammation,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('Yxq3lDS2Q-ncc305ig_tXw','Oi0BDxiU8JTvCuJskflOMw')"
911025,SAMET AĞCAYAZI,2021,Bilgisayarlı tomografi ile 1200 vakada paranazal sinüslerin anatomik varyasyonları<br><span style='font-style: italic';>Anatomic variations of paranasal sinuses in 1200 cases with computerized tomography,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('1waCuSa46pBOADwVdVAWtA','hXq42w5BBdlPJO-sg4aCMA')"
802898,ERSİN ÖZTÜRK,2023,"Nonalkolik yağlı karaciğer hastalığı ile epikardiyal yağ dokusu kalınlığı, karotis intima media kalınlığı ve aortik propagasyon velositesi arasındaki ilişki<br><span style='font-style: italic';>The relationship between nonalcoholic fatty liver disease and epicardial adipose tissue thickness, carotid intima media thickness, and aortic propagation  velocity",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('tRx76PHQFgsyvN_0-nqcDw','IJQoNpsaRVD-sLnVoUeiog')"
808676,MAHMUT SAMİ İSLAMOĞLU,2023,Hemodiyaliz hastalarında epikardiyal yağ dokusu kalınlığı ile ilişkili parametreler<br><span style='font-style: italic';>Parameters associated with epicardial fat tissue thickness in hemodialysis patients,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('9J18fajFfR-o6agZtXwn8Q','YxRQDS3PVfSXcB-hdE7mYA')"
844956,REŞİT KARAKÖSE,2023,Patellar instabilitesi olan hastalarda tibial tüberkül-troklear oluk mesafesinin patella yüksekliği ile ilişkisi<br><span style='font-style: italic';>In patients with patellar instability tibial tubercle-trochlear grout distance relationship with patella height,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('yLcMJ3P0KoTZUDg2nArvlw','guzJsSB5oswDifjHLlT1Lg')"
844958,İSMAİL TARDUŞ,2023,Bimalleoler eşdeğeri ayak bilek kırıklarında deltoid bağ onarımının uzun dönem ayak bilek fonsiyonel skorlarına etkisinin incelenmesi<br><span style='font-style: italic';>Bimalleolar equivalent in ankle fractures long term ankle deltoid ligament repair examining the effect on functional scores,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('igupSKv9xVx34rVuMJnZkw','m2z7CZlWCv6YVSgBuwLXZg')"
845633,OSMAN SERTAÇ ÇAT,2024,"Hemodiyaliz hastalarında malnütrisyon inflamasyon skoru ile ilişkili tıbbi, sosyal ve demografik faktörler<br><span style='font-style: italic';>Medical, social and demographic factors related to malnutrition and inflammation score in hemodialisis patients",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('Fu9fmvjEBKhUUBW83zUgSA','gXOuJZzdzmIlEkUzhBSLIA')"
907769,ORUÇ KELEŞ,2024,Geriatrik kalça kırıklarında psoas kas alanı ve cilt altı yağ dokusu alanının postoperatif komorbiditelere olan etkisi<br><span style='font-style: italic';>The effects of psoas muscle area and subcutaneous fat tissue area on postoperative comorbidities at geriatric hip fractures,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('iBNLPdUilHsBEI_IQypcmg','-j_uMyUYKCLiBGIVGG8Z7w')"
900672,GAMZE ATAŞ,2024,"Çocuklarda preoperatif oral verilen berraksıvının ultrason ile değerlendirilen gastrikboşalma, preoperatif anksiyete veperoperatif kan şekerine etkisininkarşılaştırılması<br><span style='font-style: italic';>Preoperative oral given clear liquid  in childrengastric emptying evaluated by ultrasound, preoperative anxiety andeffect on peroperative blood sugarcomparison",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('mzwqQGINkK2tb4cnNcX91g','wspz7oy0Vso-MHihMsLdyQ')"
911167,SAMET SADE,2024,Sedoanaljezi ile probe küretaj işlemlerindeyüksek akışlı nazal oksijen uygulamalarınınobeziteye bağlı solunumsal ve hemodinamikparametreler üzerine etkisi<br><span style='font-style: italic';>The effects of high-flow nasal oxygen applications on respiratory and hemodynamic parameters related to obesity in sedoanalgesia-assisted probe curettage procedures,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('YQ_tbbyklBx405fY_p69JA','KBEEZTk3yblst2H9OwDCbQ')"
908771,SADIK VURAL KAYA,2024,Ratlarda pseudomonas aeruginosa ile oluşturulan deneysel kronik otitis media modelinde rosmarinik asitin tedavi etkinliğinin araştırılması<br><span style='font-style: italic';>Investigation of therapeutic effectiveness of rosmarinic acid in experimental chronic otitis media model in rats induced with pseudomonas aeruginosa,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('jLdbGCiMl6zbUFbs-_ChCA','dQ_4rQ-c-yxrSM_N2bNq6w')"
918662,SAMİ KANDEFER,2025,Skapular superomedial açının akromion morfolojisi ile ilişkisi<br><span style='font-style: italic';>Relationship of scapular superomedial angle with acromion morphology,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('_Zk05VGmuOjtt3zE1ol79A','w-6yPCxon6PnqQo232Lp7Q')"
769952,FETHULLAH KÜÇÜKKALEM,2022,Pulmoner tromboemboli hastalarında pulmoner arteryel obstrüksiyon indeks oranı ile monosit/HDL oranı arasındaki ilişki ve bu parametrelerin kısa dönem prognoz üzerindeki etkisi<br><span style='font-style: italic';>The relationship between pulmonary arterial obstruction index ratio and monocyte/HDL ratio in pulmonary thromboembolia patients and the effect of these parameters on SHORT-TERM prognosis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('SRrnziTY7eM5v9q9eR6sNA','D1FBATNd5JVgGkTkPGJXxg')"
767305,BİLAL KARABAŞ,2022,COVİD-19 pandemisinin hastaların geleneksel ve tamamlayıcı tıbba bakışına etkisi<br><span style='font-style: italic';>The i̇mpact of the COVİD-19 pandemic on patients\' view of traditional and  complementary medicine,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('irZtrIxjWK_UatfeinvXhw','VpYHb1F7s3mCVTdOooaepg')"
777311,DENİZ DURGUN,2023,Genel anestezi altında laparoskopik kolesistektomi yapılan hastalarda intraabdominal basıncın tiyol-disülfid dengesine etkisi<br><span style='font-style: italic';>The effect of intraabsominal pressure on the thiole-disulfide balance in patients operated with laparoscopic cholecystectomy under general  anesthesia,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('9IwwkCjI_gWAfV_hKkD9Uw','vb_GcTJmelfd5oQ14xnZcQ')"
761966,TAYYİP İLKER AYDIN,2022,Koroner anjiografi yapılan hastalarda alkol dışı yağlı karaciğer hastalığı ile koroner arter hastalığının ciddiyeti arasındaki ilişki<br><span style='font-style: italic';>Relationship between non-alcoholic fatty liver disease and severity of coronary artery disease in patients undergoing coronary angiography,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('AXxpzKltK-rEowmBEnZBFg','Wln90rf2AyVdivEG-BwAGw')"
839179,HÜLYA ODLUYURT,2022,Hipoparatirodi tanılı hastalarda tedavi uyumu ile depresif duygu durum arasındaki ilişki<br><span style='font-style: italic';>The relationship between treatment adherence and depressive mood in patients diagnosed with hypoparathyroidism,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('vVNcDBYs5FzqcvV2McoMPg','V6dYOdYG3Q3hZZ6qW93B2w')"
804303,ŞEVKET KAHRAMAN,2022,"Trakea dallanma açılarının bilgisayarlı tomografi kullanılarak tespit edilmesi, bu açıların yaş ve cinsiyet ile ilişkisi<br><span style='font-style: italic';>Detection of trachea branch angles using computerizedtomography, the relationship of these angles with age and gender",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('vFhW0ae6kDkVJ_wxv7Gthg','Nufr3RN-GINS9oKl012Ndw')"
889491,MUHAMMED KURU,2024,Troklear femur faset asimetrisinin patellofemoral instabiliteyle ilişkisi<br><span style='font-style: italic';>Relationship of trochlear femur facet asymmetry wi̇th patellofemoral instability,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('yQSdb1hiEDORvwviTWKeKQ','Q1J5qF8Zf8mXQCHOiOG2AA')"
600185,ÇETİN ERGÜL,2019,D vitamini ve vücut kitle indeksi arasındaki ilişki<br><span style='font-style: italic';>Relationship between vitamin D and body mass index,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('4qYo3_pGaWBWk0aL_VagrA','CGEqjnVqwfNG0Ep1yLQ5bA')"
511514,MERYEM YALVAÇ KANDEFER,2018,Metabolik olarak sağlıklı ve sağlıksız obez hastalarda tiroid volümünün değerlendirilmesi<br><span style='font-style: italic';>Thyroid volume evaluation in metabolically healthy and unhealthy obese patients,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('oah-Z4TiomunZnOh-UxqnQ','__3fOeNYp-8aNLcsL2yPeQ')"
704016,FATİH ÖZDEMİR,2021,Göğüs hastalıkları polikliniğimizde takip edilen KOAH tanılı hastalarda astım-KOAH overlap sıklığı ve prostoglandin D2\'nin tanısal değeri<br><span style='font-style: italic';>Copd followed in our chest diseases polyclinicfrequency of asthma-COPD overlap in diagnosed patients anddiagnostic value of prostoglandin D2,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('ZzeFdHFagsjjmaYYDKMXPw','mA1_iCZOrtPJ54p85fEYtA')"
663533,RIDVAN ALTAY,2021,Radius distal uç kırıklarında prognozu ekileyen faktörler<br><span style='font-style: italic';>Factors influencing the prognosis of radius distal fractures,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('tBkrLNlFAfVuwSH0Bpcdig','tCUu2MjoGufgspoXGtzR9g')"
621836,TÜLAY CEREN ÖLMEZTÜRK KARAKURT,2020,Lumbal disk herniektomi operasyonlarında uygulanmış olan total intravenöz anestezi ve inhalasyon anestezi tekniklerinin mini mental durum değerlendirme testi ve nöron spesifik enolaz düzeyi üzerine etkilerinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the the effects of total intravenous anesthesia and inhalation anesthesia techniques on mini mental state examination test and neuron specific enolase level in lumbar disc herniectomy operations,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ZrWrFRazOJ-wqGH-5ogHMw','thV5hCZWsQSbCr17OyqikA')"
521811,GÜVEN AKIN,2018,Erzincan Üniversitesi öğrencilerinde akıllı telefon bağımlılık düzeyinin belirlenmesi ve ilişkili faktörlerin değerlendirilmesi<br><span style='font-style: italic';>Determination of the level of smartphone addiction in Erzincan University students and evaluation of related factors,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('emVOROpOMRtYPI3oWzANaw','L7ZJZdUF_qehJrx_j8l32w')"
654754,FARUK SUBAŞI,2021,Spinal anestezi uygulanan kardiyovasküler otonom nöropatili tip-2 diabetes mellitus hastalarında perfüzyon indeksi değişimi ve intraoperatif komplikasyonlarla ilişkisi<br><span style='font-style: italic';>Perfusion index change and relationship with intraoperative complications in cardiovascular autonomous neuropathy type-2 diabetes mellitus patients with spinal anesthesia,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('_WSh9PUHa0ffYFaTBSbllw','UHMJ0KJD4wHZg1ONAZKtPA')"
631949,HAKAN GÖKALP TAŞ,2020,Genel anestezinin ekstübasyon aşamasında hasta durum indeksi monitörizasyonundaki frontal EMG parametresinin Train Of Four ile korelasyonu<br><span style='font-style: italic';>The correlation between the frontal electromyography parameter in patient state index (PSİ) monitor and Train Of Four at the extubation phase of general anesthesia,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('P0wBub-tF-Erf3OewobMEQ','SfMe5hGO2h_fYYafaKwc5A')"
838801,NURHAN EREN,2021,Laparoskopik kolesistektomi planlanan diabetes mellitus tanılı hastalarda uygulanan intraabdominal basıncın kalp hızı değişkenliği ve hemodinamiye etkisi<br><span style='font-style: italic';>Effect of intraabdominal pressure on heart rate variability and hemodynamics in patients with diabetes mellitus diagnosed with laparoscopic cholestectomy,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('pQmkKn1Ivvog0vnp4wo_GQ','tOnIcKbRqTq65nkW_qxb0Q')"
632383,YASİN EMRAH SOYLU,2020,Sigara içen kişilerde epikardiyal yağ dokusu kalınlığı ve inflamasyonun değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the thickness of epicardial adipose tissue and inflammation in smokers,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('Rl2oaIqiu6rLklFc36HghA','kDJh_PX2HExXPXL3dlPQDg')"
818959,CİHAT ÜSTÜN,2023,Erzincan ili merkez ilçesinde aile sağlığı merkezlerine başvuran 40-69 yaş arası kadınların meme kanseri taramalarına yönelik tutumları ve etkileyen faktörler<br><span style='font-style: italic';>Family health in the central district of Erzincan between 40-69 years applied to the centers women\'s breast cancer screenings attitudes towards and affecting factors,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('u22bnEtdLZ60WgyVMCCztw','NJW80d51InBtb_JIR7fgnA')"
816675,AHMET KIRKINCI,2023,Kontrasepsiyon yöntemlerinin hasta memnuniyeti ve seksüel fonksiyon üzerine etkileri<br><span style='font-style: italic';>Patient satisfaction of contraception methods and its effects on sexual function,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('vfmOozLekIHpkGNLNWMeOw','QCCpzuHBfnZuwWe-2GTweA')"
815899,RIDVAN ÖZDEMİR,2023,Son dönem böbrek yetmezliği olup rutin hemodiyaliz tedavisi alan hastalarda serum magnezyum düzeyi ile karotis intima media kalınlığı arasındaki ilişkinin değerlendirilmesi<br><span style='font-style: italic';>Evaluation of the relationship between serum magnesium level and carotis intima media thickness in patients with end-stage renal failure receiving routine hemodialysis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('LfkcT6T4tLlLx4NtBi9_IQ','biMAqZbGi3lLP8BdCOGung')"
812944,SEFA KEŞAN,2023,Kronik sinüzitli hastalarda paranazal bilgisayarlı tomografi ile varyasyonların değerlendirilmesi<br><span style='font-style: italic';>Evaluation of variations with paranasal computer tomography in patients with chronic sinusitis,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('HD930EY1fHfUspsTdVdo3A','JbIkCrSWnf45UAEtHlKEBQ')"
826431,FATMA ZEHRA KURNUÇ,2022,Birinci trimesterde subkoryonik hematomu olan gebelerin obstetrik komplikasyonlarının ve sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>Evaluation of obstetric complications and results of pregnancy with subchorionic hematoma in the first tri̇mester,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('bysNHqJiEwFyheO18unGxw','MBCH_BSTtXzyc_zgW9lJIw')"
842957,MERVE ÖZÇİNAR,2023,Erzincan ili evde sağlık hizmeti alan hastaların yakınlarının siberkondri düzeyi ve sağlık anksiyetesi arasındaki ilişki<br><span style='font-style: italic';>The relationship between cyberchondria level and health anxiety of relatives of patients receiving home health services in Erzincan province,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('olpEuyvjU_KqkwP9Ri78Uw','w6xesgh4WC67wB7_Xn8GQg')"
842802,RABİA YALÇİN,2023,"Tiroid ince iğne aspirasyon biyopsisi yapılan hastalarda önemi belirsiz atipi, foliküler lezyon ve kuşkulu sitoloji sonuçlarının klinik olarak değerlendirilmesi<br><span style='font-style: italic';>Clinical evaluation of atypia of undetermined significance, follicular lesion, and  suspicious cytology results in patients undergoing thyroid fine needle aspiration biopsy",Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,İç Hastalıkları = Internal diseases," onclick=tezDetay('hK3F2-GXLZ_NxPbDPXX8rQ','QySgabnnV-GkUstAUlniGw')"
843983,İBRAHİM HALİL ÖLMEZ,2023,Aile hekimliği polikliniğine başvuran hastaların sigara içme durumları ile uyku kalitesi ve öz yeterlilik algısı arasındaki ilişki<br><span style='font-style: italic';>The relationship between smoking status and sleep quality and self-efficacy perception of patients admitted to the family medicine outpatient clinic,Erzincan Binali Yıldırım Üniversitesi,Tıpta Uzmanlık,Aile Hekimliği = Family Medicine," onclick=tezDetay('fAeYt0JbTYwrftWLP0GTrA','8RmHZN5h2McwxfnYwsIVEg')"
